angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,_RAJ2000,_DEJ2000,Name,HIP,B-V,SHK,Act,Jitter,logRHK,dMag,Prot,Age,Obs,S,SimbadName,_RA,_DE
0.846309,130.2466898420000,-23.4562774027000,0.002,0.002,90,5701750711020088192,130.24452542565,0.0694,-23.45280898798,0.0719,65.7744,0.0557,-461.162,0.139,805.571,0.126,1,9.41403e+05,7.08892e+02,10.753926,1.74689e+05,2.41388e+02,12.245722,1.17901e+06,1.82327e+03,9.583127,2.662595,,,3589.79,0.7300,0.3975,,,130.2468333,-23.4564722,GJ 317,,1.6,1.22,Act,4.303,,-1.4,,,K,S,GJ 317,130.24683,-23.45647
3.331898,130.2474412940000,-23.4557336116000,0.020,0.019,0,5701750715313094144,130.24744080278,0.6619,-23.45571633757,0.6824,2.2246,0.9185,-0.105,1.202,4.012,1.269,0,1.65708e+02,1.67156e+00,20.140007,6.49501e+01,1.25610e+01,20.819939,2.64257e+02,1.29853e+01,18.706854,2.113085,,,,,,,,130.2468333,-23.4564722,GJ 317,,1.6,1.22,Act,4.303,,-1.4,,,K,S,GJ 317,130.24683,-23.45647
0.020972,144.0068218830000,-21.6607995228000,0.002,0.001,90,5664814198431308288,144.00746441016,0.0517,-21.66506336207,0.0449,105.8830,0.0569,138.694,0.100,-990.311,0.083,0,2.10476e+06,2.79065e+03,9.880358,4.61967e+05,9.32784e+02,11.189861,2.44222e+06,3.99662e+03,8.792460,2.397402,,,3805.50,0.2487,0.1270,,,144.0068164,-21.6607967,GJ 357,47103,1.572,0.449,Act,2.1,,0.14,,,K,S,GJ 357,144.00682,-21.6608
2.764219,144.0066367690000,-21.6600472303000,0.003,0.002,90,5664814202726212224,144.00661644912,0.0826,-21.66003914048,0.0594,0.3038,0.0757,-4.386,0.183,1.879,0.113,0,7.59110e+03,1.03677e+01,15.987604,4.10941e+03,1.54817e+01,16.316938,5.07785e+03,2.94245e+01,15.497721,0.819218,,,5753.00,,,,,144.0068164,-21.6607967,GJ 357,47103,1.572,0.449,Act,2.1,,0.14,,,K,S,GJ 357,144.00682,-21.6608
0.018152,2.1186082054500,34.9345429749000,0.008,0.007,90,2875970475758724224,2.11920319632,0.3243,34.93458083411,0.2710,10.1120,0.4565,113.290,0.548,8.793,0.455,1,2.32463e+07,4.45872e+03,7.272482,1.28092e+07,1.09137e+04,7.582583,1.46749e+07,2.09411e+04,6.845481,0.737102,-5.81,0.17,6060.00,,,2.70,8.862,2.1186133,34.9345458,HD 375,689,0.606,0.164,Act,4.265,-4.953,1.57,20,5.73,K,S,HD 375,2.11861,34.93455
0.018152,2.1186082054500,34.9345429749000,0.008,0.007,90,2875970475758724224,2.11920319632,0.3243,34.93458083411,0.2710,10.1120,0.4565,113.290,0.548,8.793,0.455,1,2.32463e+07,4.45872e+03,7.272482,1.28092e+07,1.09137e+04,7.582583,1.46749e+07,2.09411e+04,6.845481,0.737102,-5.81,0.17,6060.00,,,2.70,8.862,2.1186133,34.9345458,HD 375,689,0.606,0.164,Act,4.265,-4.953,1.57,20,5.73,K,S,HD 375,2.11861,34.93455
0.006912,2.1072733739200,6.6168022729600,0.002,0.001,90,2745647973856851712,2.10765210722,0.0549,6.61679478704,0.0477,25.9585,0.0582,87.378,0.132,-1.739,0.088,0,2.00069e+07,9.31266e+03,7.435418,1.07394e+07,1.72585e+04,7.773936,1.29442e+07,1.75312e+04,6.981730,0.792207,0.92,0.22,5871.00,0.0600,0.0267,1.04,1.166,2.1072744,6.6168039,HD 377,682,0.579,0.369,Act,6.41,-4.35,-0.2,2,0.2,K,S,HD 377,2.10727,6.6168
0.009879,153.0736184830000,-3.7456649565000,0.002,0.002,0,3828238392559860992,153.07295861081,0.0660,-3.74671379708,0.0643,129.7887,0.0838,-152.931,0.100,-243.598,0.113,0,8.76647e+06,1.03758e+04,8.331304,2.17430e+06,6.88384e+03,9.508087,9.88671e+06,3.92278e+04,7.274291,2.233797,7.21,0.33,3809.74,0.3043,0.1660,,,153.0736211,-3.7456658,GJ 382,49986,1.51,1.897,Act,5.042,,0.42,,,K,S,GJ 382,153.07362,-3.74567
0.070631,154.9011700100000,19.8700038994000,0.002,0.002,90,625453654702751872,154.89888734446,0.0576,19.86981583640,0.0581,201.3683,0.0679,-498.605,0.119,-43.683,0.103,0,9.83365e+06,1.36116e+04,8.206579,1.94680e+06,5.74803e+03,9.628085,1.21199e+07,3.19329e+04,7.053171,2.574914,,,3859.05,,,,,154.9011542,19.8700167,GJ 388,,1.54,8.175,Act,20.31,,-0.3,,,K,S,GJ 388,154.90115,19.87002
0.021219,157.2314637540000,0.8410005049270,0.001,0.001,90,3855208897392952192,157.22886716634,0.0462,0.83784846207,0.0364,142.1885,0.0499,-603.003,0.084,-732.075,0.070,0,6.39517e+06,4.59634e+03,8.673735,1.50534e+06,4.01656e+03,9.907301,7.30200e+06,2.06002e+04,7.603316,2.303985,7.43,0.46,3775.50,0.2417,0.1327,,,157.2314619,0.8410061,GJ 393,51317,1.52,1.094,Act,3.174,,0.04,,,K,S,GJ 393,157.23146,0.84101
