angDist,_RAJ2000,_DEJ2000,HD,RAJ2000,DEJ2000,Smin,Smax,SMW,logRmin,logRmax,logRMW,Age,e_Age,Teff,[Fe/H],GCS,Simbad,Ref,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.082967,21.05125,-31.811944,8581,01 24 12.3,-31 48 43,0.133,0.133,,-5.209,-5.209,,3.91,0.93,6153,0.06,GCS,Simbad,1,21.0512679032000,-31.8119613113000,0.001,0.001,0,5016419963760182912,21.05211212371,0.0237,-31.81228767243,0.0225,20.9549,0.0355,166.622,0.046,-75.799,0.052,1,3.90385e+07,6.00809e+03,6.709634,2.15320e+07,1.73860e+04,7.018678,2.45316e+07,3.59616e+04,6.287603,0.731074,20.28,0.15,6059.00,,,1.69,3.466
0.229977,22.499583,-22.524167,9175,01 29 59.9,-22 31 27,0.145,0.149,,-5.032,-5.006,,9.18,1.33,5791,0.12,GCS,Simbad,1b,22.4995560332000,-22.5242258259000,0.001,0.001,90,5042309717381255680,22.50011159140,0.0335,-22.52444920123,0.0229,17.8676,0.0472,119.190,0.078,-51.881,0.038,1,1.36466e+07,2.71141e+03,7.850806,7.26909e+06,4.74708e+03,8.197687,8.94647e+06,7.89877e+03,7.382791,0.814897,30.94,0.13,5812.00,0.3358,0.1700,1.28,1.685
0.714122,23.859583,-13.380833,9782,01 35 26.3,-13 22 51,0.141,0.181,,-5.086,-4.827,,4.01,2.47,6042,0.07,GCS,Simbad,17aa,23.8596175670000,-13.3810284960000,0.002,0.001,90,2453895484005571200,23.86067726446,0.0326,-13.38086838988,0.0285,26.3792,0.0533,239.441,0.117,37.186,0.059,0,2.91573e+07,6.15845e+03,7.026496,1.59371e+07,1.53771e+04,7.345364,1.85230e+07,2.48664e+04,6.592643,0.752721,11.27,0.26,5989.67,0.0737,0.0403,1.19,1.637
0.495949,24.042083,-29.392222,9905,01 36 10.1,-29 23 32,0.172,0.172,,-5.001,-5.001,,8.63,4.32,5338,0.15,GCS,Simbad,1,24.0420492025000,-29.3923565795000,0.001,0.001,90,5023115989572699520,24.04171454550,0.0359,-29.39232089629,0.0251,21.1169,0.0490,-67.722,0.096,8.288,0.044,1,6.75990e+06,1.23979e+03,8.613516,3.34568e+06,2.82862e+03,9.040177,4.77904e+06,4.96646e+03,8.063569,0.976608,13.04,0.18,5328.13,0.0925,0.0540,0.93,0.625
0.725816,24.397917,-6.760278,10008,01 37 35.5,-06 45 37,0.361,0.452,,-4.53,-4.411,,4.18,3.46,5348,0.03,GCS,Simbad,16aabg,24.3977784305000,-6.7604253548200,0.001,0.001,90,2477815222028038272,24.39852312711,0.0402,-6.76084753466,0.0283,41.5902,0.0433,171.758,0.081,-98.054,0.062,0,1.98098e+07,8.11894e+03,7.446167,9.74318e+06,1.98631e+04,7.879636,1.39493e+07,3.46249e+04,6.900542,0.979095,11.26,0.20,5303.00,0.0387,0.0225,0.82,0.474
0.060691,24.9775,-9.972222,10226,01 39 54.6,-09 58 20,0.176,0.176,,-4.849,-4.849,,4.5,2.17,5953,0.08,GCS,Simbad,1,24.9775027471000,-9.9722386400900,0.001,0.001,90,2463995460378587904,24.97854645480,0.0448,-9.97184933881,0.0365,20.8524,0.0542,238.746,0.084,90.418,0.077,0,1.56377e+07,4.72827e+03,7.702937,8.48436e+06,1.32970e+04,8.029840,9.98264e+06,3.09805e+04,7.263807,0.766034,13.65,0.21,5958.00,0.1447,0.0617,1.11,1.407
0.183084,25.151667,-36.483611,10370,01 40 36.4,-36 29 01,0.164,0.199,,-4.921,-4.77,,4.32,3.44,5703,-0.07,GCS,Simbad,179,25.1517299998000,-36.4836155414000,0.001,0.001,90,5010757753754644224,25.15221570729,0.0251,-36.48428148654,0.0223,26.9846,0.0341,90.702,0.046,-154.671,0.040,0,1.49908e+07,2.87585e+03,7.748803,7.84467e+06,6.83473e+03,8.114952,1.00319e+07,8.02548e+03,7.258465,0.856487,43.07,0.13,5742.85,0.0422,0.0213,0.91,0.815
0.340724,25.654167,-58.413056,10678,01 42 37.0,-58 24 47,0.213,0.213,,-4.739,-4.739,,4.92,3.82,5660,0.08,GCS,Simbad,1,25.6542268965000,-58.4131452945000,0.001,0.001,90,4718719219080249344,25.65440673153,0.0260,-58.41330124188,0.0215,22.1322,0.0288,21.878,0.049,-36.220,0.043,0,9.69685e+06,2.45312e+03,8.221789,5.01738e+06,4.98392e+03,8.600195,6.55445e+06,8.38645e+03,7.720580,0.879615,16.23,0.21,5560.00,0.0165,0.0090,0.96,0.795
0.943386,26.017083,-15.937222,10700,01 44 04.1,-15 56 14,0.055,0.396,0.171,-6.311,-4.385,-4.912,6.46,4.68,5459,-0.39,GCS,Simbad,12334557899aabbfhjj,26.0170480154000,-15.9374818835000,0.020,0.012,90,2452378776434276992,26.00930287667,0.4122,-15.93379865094,0.3505,277.5162,0.5173,-1729.726,1.313,855.493,0.783,1,1.05171e+09,7.22737e+06,3.133622,4.34215e+08,3.59447e+06,3.757126,6.34651e+08,1.93375e+06,2.755582,1.001544,,,5375.00,,,0.86,0.559
0.767087,30.196667,-80.5325,13060,02 00 47.2,-80 31 57,0.217,0.217,,-4.905,-4.905,,6.35,4.6,5266,0.27,GCS,Simbad,1,30.1967133450000,-80.5327129433000,0.001,0.001,90,4632033344389469184,30.19494140465,0.0230,-80.53332363251,0.0186,22.6123,0.0210,-67.693,0.045,-141.836,0.035,0,6.24771e+06,1.32417e+03,8.699064,3.03946e+06,4.56600e+03,9.144398,4.47514e+06,6.23699e+03,8.134903,1.009495,31.11,0.57,5242.50,0.0830,0.0340,0.87,0.510
