angDist,_RAJ2000,_DEJ2000,SimbadName,B-V,VMAG,GSVal,log(R'HK),l_log(Age),log(Age),Svalues,_RA,_DE,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.667574,5.59838,-27.032574,HIP 1768,0.888,6.55,0.454,-4.51,,8.96,Svalues,5.5984,-27.0326,5.5981827507700,-27.0325146986000,0.009,0.008,0,2323302296085774464,5.59957388385,0.2869,-27.03433896050,0.2222,45.9535,0.3435,287.803,0.529,-423.699,0.550,0,1.14492e+07,4.15420e+03,8.041424,5.33462e+06,7.08627e+03,8.533629,8.53162e+06,2.36882e+04,7.434341,1.099289,-2.53,1.10,5053.00,0.0765,0.0390,0.63,0.234
0.010369,5.694487,-35.386365,SAO 192490,0.61,,0.172,-4.91,,9.6,Svalues,5.6945,-35.3864,5.6944876812200,-35.3863621738000,0.004,0.003,90,2314863475623335552,5.69528287845,0.2059,-35.38620503033,0.1094,17.4913,0.2948,150.571,0.263,36.498,0.223,0,1.95204e+07,3.07228e+03,7.462143,1.04504e+07,7.70686e+03,7.803555,1.26864e+07,1.35855e+04,7.003572,0.799983,21.72,1.09,5873.25,0.6667,0.3170,1.53,2.506
0.005092,5.715784,-12.209438,HIP 1803,0.659,4.84,0.342,-4.44,,8.78,Svalues,5.7158,-12.2094,5.7157847162200,-12.2094367708000,0.002,0.001,90,2423493369021649920,5.71752259024,0.0420,-12.20917389555,0.0288,46.9258,0.0508,394.506,0.120,61.056,0.059,0,6.09903e+07,4.10236e+04,6.225214,3.23068e+07,6.55902e+04,6.578154,4.02581e+07,7.41806e+04,5.749787,0.828366,-2.34,0.16,5760.90,0.1057,0.0540,1.05,1.095
0.003355,5.750872,22.375001,HIP 1813,0.639,4.53,0.17,-4.93,,9.64,Svalues,5.7509,22.375,5.7508710274000,22.3750007561000,0.001,0.001,90,2800690281858225408,5.75181304468,0.0399,22.37404883728,0.0396,24.5718,0.0562,202.321,0.079,-221.094,0.064,0,2.05126e+07,3.74776e+03,7.408314,1.09295e+07,6.84966e+03,7.754890,1.34732e+07,1.23806e+04,6.938239,0.816651,-30.60,0.15,5772.50,0.1403,0.0673,1.16,1.342
0.009884,6.108059,-27.026772,HIP 1936,0.94,6.64,0.348,,,,Svalues,6.1081,-27.0268,6.1080561057700,-27.0267729438000,0.001,0.001,90,2322574488107786624,6.11127316088,0.0550,-27.02641087453,0.0363,55.7055,0.0710,665.588,0.088,84.102,0.071,0,1.69278e+07,4.33674e+03,7.616865,7.63004e+06,8.44464e+03,8.145070,1.29640e+07,1.85406e+04,6.980076,1.164994,3.17,0.17,4974.00,0.0935,0.0505,0.66,0.239
2.563921,7.087901,-20.335051,HIP 2237,0.594,3.9,0.237,-4.64,,9.18,Svalues,7.0879,-20.3351,7.0873506025500,-20.3355417914000,0.001,0.001,90,2363291052952046208,7.08735060255,1.0871,-20.33554179141,1.0057,,,,,,,1,5.85218e+07,2.14502e+04,6.270072,3.18480e+07,5.74565e+04,6.593683,3.74515e+07,1.08370e+05,5.828247,0.765436,,,5957.50,,,,
0.004349,7.729499,77.019404,HIP 2422,0.883,3.2,0.127,-5.23,,10.07,Svalues,7.7295,77.0194,7.7294938252800,77.0194043293000,0.001,0.001,90,540077264003238528,7.73600868117,0.0251,77.01925663334,0.0222,26.0335,0.0269,339.878,0.051,-34.322,0.043,0,7.93057e+07,3.86410e+04,5.940105,3.74776e+07,9.41812e+04,6.416958,5.78013e+07,5.96888e+04,5.357075,1.059883,13.88,0.14,5120.00,,,2.84,4.982
0.024150,8.432526,-35.002078,HIP 2663,0.617,3.62,0.154,-5.02,,9.78,Svalues,8.4325,-35.0021,8.4325335915600,-35.0020805166000,0.003,0.002,90,5005222984018671232,8.43222981991,0.0687,-35.00431005872,0.0614,29.4570,0.0644,-57.792,0.212,-517.822,0.105,1,5.04543e+07,1.86411e+04,6.431121,2.78358e+07,4.93385e+04,6.739879,3.15503e+07,1.16922e+05,6.014411,0.725468,29.72,0.20,6090.67,0.3000,0.1490,1.35,2.264
4.662839,8.432526,-35.002078,HIP 2663,0.617,3.62,0.154,-5.02,,9.78,Svalues,8.4325,-35.0021,8.4328132415100,-35.0033516832000,0.001,0.001,90,5005222777860241152,8.43247244709,0.0377,-35.00551416961,0.0253,29.5111,0.0440,-64.835,0.085,-502.255,0.049,0,9.09393e+06,2.63298e+03,8.291487,4.45737e+06,1.59067e+04,8.728691,6.65743e+06,1.38346e+04,7.703653,1.025038,,,5112.47,0.0410,0.0210,0.85,0.445
0.010647,8.623801,47.915542,HIP 2712,0.549,4.01,0.152,-4.99,,9.73,Svalues,8.6238,47.9155,8.6237965875100,47.9155420323000,0.001,0.001,90,390900439790625664,8.62634332420,0.0420,47.91580271004,0.0266,20.9305,0.0538,396.440,0.072,60.538,0.055,1,2.38965e+07,5.38125e+03,7.242531,1.32406e+07,1.75802e+04,7.546623,1.49806e+07,1.33092e+04,6.823100,0.723524,-12.10,0.16,6065.75,0.2250,0.1260,1.32,2.126
