angDist,_RAJ2000,_DEJ2000,Name,SpType,plx,logg,l_[Fe/H],[Fe/H],l_Prot,Prot,<S>,<FHK>,<FHa>,Simbad,_RA,_DE,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.018385,53.2326842,-9.4582622,HD  22049,K2V,310.75,4.38,,-0.14,,11.68,0.47,89.9,24.74,Simbad,53.23268,-9.45826,53.2326880116000,-9.4582587438600,0.009,0.009,90,5164707970261630080,53.22843060110,0.3824,-9.45817151519,0.2161,312.2191,0.4673,-975.376,0.567,20.266,0.556,0,8.46623e+08,3.11076e+06,3.369140,3.46353e+08,3.08523e+06,4.002592,5.64378e+08,2.91346e+06,2.882995,1.119597,,,4975.00,0.1640,0.0840,0.83,0.381
0.039980,55.8120908,-9.7633947,HD  23249,K0IV,110.58,3.95,,0.05,,71.0,0.13,22.68,19.26,Simbad,55.81209,-9.76339,55.8120820236000,-9.7633877339400,0.013,0.012,0,5164120762332790528,55.81167657003,0.3505,-9.76018726494,0.3217,110.2170,0.4171,-92.806,0.764,743.335,0.839,0,1.05065e+09,3.56535e+06,3.134724,3.95009e+08,5.76989e+06,3.859871,6.64631e+08,6.68512e+06,2.705469,1.154402,,,4766.25,,,2.93,4.001
0.002140,59.7183081,-5.4699467,HD  25069,G9V,22.88,,,,,,0.12,13.01,15.77,Simbad,59.71831,-5.46995,59.7183079161000,-5.4699472656100,0.002,0.001,90,3245123980001812864,59.71810575575,0.0651,-5.47069792069,0.0492,21.2353,0.0904,-46.740,0.123,-174.346,0.095,0,1.14292e+08,1.04338e+05,5.543324,5.08341e+07,1.28568e+05,6.086000,8.53443e+07,1.93764e+05,4.933983,1.152017,38.59,0.13,4917.50,,,4.62,11.263
0.010601,63.8180006,-7.6528711,HD  26965,K1V,198.24,4.31,,-0.25,,37.1,0.19,51.55,26.41,Simbad,63.818,-7.65287,63.8179987150000,-7.6528733763000,0.007,0.006,90,3195919528988725120,63.80826664930,0.3363,-7.66760265960,0.2160,198.5657,0.5101,-2240.519,0.452,-3421.429,0.356,1,4.29066e+08,1.46034e+06,4.107055,1.93763e+08,5.36551e+05,4.633211,2.90960e+08,8.16041e+05,3.602336,1.030875,-42.62,0.42,5196.00,0.1603,0.0820,0.83,0.457
0.007421,64.1209531,-59.3021564,HD  27442,K2IV,54.84,3.3,,0.22,,54.96,0.13,10.34,12.42,Simbad,64.12095,-59.30216,64.1209550038000,-59.3021545821000,0.005,0.004,0,4678664766394767616,64.12054762982,0.1447,-59.30287705104,0.1585,54.7051,0.1620,-48.302,0.278,-167.799,0.297,0,4.46476e+08,1.30902e+06,4.063870,1.83369e+08,2.33460e+05,4.693071,3.25976e+08,1.00956e+06,3.478955,1.214116,29.03,0.52,4677.00,,,4.06,7.094
0.004501,66.329665,-44.1608969,HD  28246,F6V,27.0,,,,,,0.21,303.1,39.55,Simbad,66.32966,-44.1609,66.3296657926000,-44.1608957865000,0.001,0.001,0,4839165048546715648,66.32982921765,0.0249,-44.16060866898,0.0306,26.7624,0.0312,27.230,0.047,66.685,0.060,0,5.92386e+07,1.72382e+04,6.256855,3.45255e+07,6.50536e+04,6.506038,3.45801e+07,7.19431e+04,5.914856,0.591182,15.68,0.20,6556.21,0.2040,0.1010,1.39,3.199
0.000450,71.9012158,-16.9344561,HD  30495,G3V,75.1,4.3,,-0.13,,9.1,0.3,194.4,33.28,Simbad,71.90122,-16.93446,71.9012156698000,-16.9344560909000,0.002,0.002,0,2980492387558410112,71.90180173769,0.0498,-16.93372662439,0.0542,75.5213,0.0795,130.217,0.103,169.425,0.117,0,1.43926e+08,1.99936e+05,5.293017,7.53694e+07,1.52967e+05,5.658400,9.19412e+07,2.05390e+05,4.853144,0.805256,21.72,0.14,5867.00,0.0397,0.0275,0.96,0.992
0.017447,75.2041669,-5.7536753,HD  32147,K3V,113.46,4.57,,0.34,,47.4,0.3,24.55,16.19,Simbad,75.20417,-5.75368,75.2041630609000,-5.7536723172100,0.001,0.001,90,3211461469444773376,75.20654095340,0.0246,-5.75844504184,0.0231,113.0236,0.0324,549.481,0.050,-1108.460,0.046,0,8.46403e+07,4.84845e+04,5.869422,3.62831e+07,6.23892e+04,6.452127,6.66941e+07,5.51310e+04,5.201701,1.250426,21.38,0.14,4702.50,0.3110,0.1520,0.84,0.313
0.002815,81.7698464,-11.9009636,HD  35850,F7V:,37.26,4.4,,,,0.91,0.5,482.3,56.47,Simbad,81.76985,-11.90096,81.7698465382000,-11.9009628299000,0.001,0.001,0,3009908378049913216,81.76992160203,0.0227,-11.90117515710,0.0245,37.2061,0.0259,17.059,0.044,-49.315,0.048,0,6.35323e+07,4.74826e+04,6.180879,3.46853e+07,9.92097e+04,6.501023,4.00780e+07,7.99959e+04,5.754654,0.746369,20.61,0.51,6080.00,,,1.21,1.788
0.011535,82.8641525,-3.6772289,HD  36395,M1V,175.72,4.8,,0.6,<,7.85,2.44,20.12,6.7,Simbad,82.86415,-3.67723,82.8641493647000,-3.6772282088400,0.002,0.002,90,3209938366665770752,82.86743509254,0.0471,-3.68623703008,0.0385,175.4287,0.0672,761.548,0.119,-2092.322,0.097,0,2.72860e+07,1.97552e+04,7.098516,7.20762e+06,1.17755e+04,8.206908,2.96690e+07,8.30903e+04,6.081163,2.125745,8.26,0.14,3885.07,0.9693,0.4640,0.55,0.063
