angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,Star,Nobs,Smin,Smax,Smean,e_Smean,sdS,Wmin,Wmean,Date1,Date2,SName,RAJ2000,DEJ2000,rPos,Bmag,Vmag,ASCC,HIP
0.365532,320.8459254350000,37.4065195402000,0.001,0.001,0,1964001000151278080,320.84619403554,0.0207,37.40664228309,0.0282,9.1761,0.0321,49.555,0.043,28.508,0.051,1,5.08698e+07,1.03353e+04,6.422216,2.87769e+07,2.80182e+04,6.703776,3.09851e+07,3.73805e+04,6.034039,0.669737,-18.34,0.63,6241.00,,,4.14,23.441,HD 203857B,3,0.2347,0.2489,0.2434,0.0076,3.14,1445.1,1487.1,1982-08-02,1982-08-02,HD 203784,320.8458,37.4065,A,7.067,6.548,534265,105607
4.836842,320.8474782710000,37.4063328472000,0.001,0.001,0,1963813327254240896,320.84775007742,0.0251,37.40644963729,0.0411,9.0247,0.0451,50.147,0.052,27.125,0.091,0,2.08902e+05,3.94752e+02,12.388507,1.40671e+05,1.17084e+04,12.480874,2.39517e+05,7.71183e+03,11.313579,1.167296,,,5143.45,,,,,HD 203857B,3,0.2347,0.2489,0.2434,0.0076,3.14,1445.1,1487.1,1982-08-02,1982-08-02,HD 203784,320.8458,37.4065,A,7.067,6.548,534265,105607
0.226102,321.6667829950000,-22.4113391932000,0.013,0.009,90,6828125061422280448,321.66677641710,0.4374,-22.41121834859,0.3400,7.3533,0.4817,-1.412,0.807,28.067,0.568,0,8.03457e+08,1.79682e+06,3.425959,3.15750e+08,3.46802e+06,4.103031,5.29234e+08,1.60814e+06,2.952801,1.150230,,,4925.00,,,35.26,659.100,HD 204075,3,0.2542,0.2609,0.2571,0.0034,1.33,4985.7,5025.5,1982-07-25,1982-07-25,HD 204075,321.6668,-22.4114,A,4.746,3.742,1611193,105881
1.428093,321.6669287430000,-22.4110215832000,0.043,0.014,90,6828125061422932224,321.66692874348,42.5649,-22.41102158324,14.0653,,,,,,,0,9.01567e+06,1.03930e+06,8.300871,,,,,,,,,,,,,,,HD 204075,3,0.2542,0.2609,0.2571,0.0034,1.33,4985.7,5025.5,1982-07-25,1982-07-25,HD 204075,321.6668,-22.4114,A,4.746,3.742,1611193,105881
0.445001,321.8117554620000,-21.1962164279000,0.004,0.003,90,6828542218710604672,321.81162047400,0.1303,-21.19634427846,0.1227,5.9734,0.1871,-29.231,0.253,-29.694,0.197,0,1.50503e+08,2.75321e+05,5.244502,5.26320e+07,5.51417e+04,6.048263,1.32800e+08,3.95047e+05,4.453924,1.594338,29.88,0.16,4215.75,0.3993,0.1670,29.30,244.358,HD 204139,3,0.1524,0.1826,0.1625,0.0174,10.73,350.9,373.7,1982-07-25,1982-07-25,HD 204139,321.8118,-21.1961,A,7.255,5.774,1611218,105928
1.124663,322.1808360060000,-21.8071833242000,0.009,0.006,90,6828451375858193664,322.18146160256,0.3447,-21.80720346889,0.2584,18.2211,0.3430,134.903,0.612,-4.679,0.412,0,3.93211e+08,1.22570e+06,4.201801,1.76659e+08,1.71145e+05,4.733548,2.62717e+08,3.52573e+06,3.713200,1.020348,-20.97,0.22,5320.00,,,8.23,48.854,HD 204381,3,0.1092,0.1128,0.1111,0.0018,1.63,858.0,932.5,1982-08-06,1982-08-06,HD 204381,322.1805,-21.8072,A,5.397,4.501,1611296,106039
1.121851,322.3141103190000,28.5829984896000,0.001,0.001,0,1849099423703033856,322.31394749620,0.0236,28.58238765804,0.0281,10.3740,0.0353,-33.208,0.063,-141.870,0.073,0,5.01921e+07,1.16635e+04,6.436777,2.17352e+07,2.77795e+04,7.008477,3.95968e+07,6.65868e+04,5.767770,1.240707,20.25,0.13,4745.50,,,6.89,21.708,HD 204642,3,0.107,0.1229,0.115,0.008,6.92,367.9,384.7,1982-07-14,1982-07-14,HD 204642,322.3142,28.5833,A,7.837,6.747,728767,106081
1.126940,322.3622914520000,46.5405839919000,0.003,0.003,90,1972198271665518208,322.36256090915,0.0869,46.54103470975,0.0988,15.4057,0.1077,43.048,0.193,104.683,0.187,0,2.03120e+08,4.60414e+05,4.918986,8.97824e+07,1.39186e+05,5.468411,1.45275e+08,6.55121e+05,4.356442,1.111969,-21.68,0.14,4975.00,,,8.25,37.526,HD 204771,3,0.1022,0.108,0.1053,0.0029,2.77,1432.1,1479.9,1982-07-16,1982-07-16,HD 204771,322.3621,46.5403,A,6.186,5.219,357098,106093
0.162959,322.8896974720000,-5.5711548037100,0.019,0.014,90,2671038928727498880,322.88980000161,0.5314,-5.57120995959,0.4488,7.0612,0.5658,23.701,1.193,-12.810,0.931,0,1.78144e+09,1.98798e+07,2.561439,2.41738e+08,6.13553e+07,4.393027,9.05248e+08,2.27709e+07,2.370002,2.023025,,,4732.67,,,,,HD 204867,6,0.1594,0.1666,0.1617,0.0027,1.69,8992.3,10026.8,1982-07-15,1982-08-11,HD 204867,322.8897,-5.5712,A,3.729,2.887,1338589,106278
0.227028,323.6192303920000,-33.8056251318000,0.001,0.001,90,6590893161304308864,323.61917112692,0.0535,-33.80568841792,0.0433,2.1990,0.0682,-11.438,0.092,-14.699,0.074,0,4.80244e+06,1.39880e+03,8.984712,2.03630e+06,1.82013e+03,9.579286,3.88025e+06,5.05853e+03,8.289769,1.289516,7.35,0.11,4731.27,0.1290,0.0597,10.14,46.424,HD 205167,3,0.1411,0.1565,0.1492,0.0077,5.18,876.2,887.2,1982-07-26,1982-07-26,HD 205167,323.6193,-33.8056,A,10.542,9.313,1806427,
