angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,_RAJ2000,_DEJ2000,SPOCS,Name,Teff,logg,[M/H],S,logRhk,Vbr,Vsini,Vmac,Vrad,SNR,Crms,Lrms,N,[Fe/H],RAJ2000,DEJ2000,Vmag,Dist,logL,Rstar,Mstar,Miso,logg2,Age,CCat,Simbad
0.596575,19.8711007431000,-24.9512066470000,0.001,0.001,90,5040068191130125056,19.87099489227,0.0338,-24.95173173370,0.0313,20.4229,0.0422,-22.290,0.084,-121.955,0.072,0,9.61907e+06,2.43934e+03,8.230534,5.02267e+06,4.30503e+03,8.599051,6.44202e+06,7.07005e+03,7.739366,0.859686,9.67,0.24,5682.67,0.0967,0.0385,0.99,0.917,19.87125,-24.951111,65,HD 8038,5667,4.45,0.14,0.19,-4.85,3.2,0.6,3.1,10.3,256,0.01,0.01,1,0.16,01 19 29.1,-24 57 04,8.41,52.16,0.0,1.04,1.12,1.04,4.43,3.8,1,Simbad
0.541792,20.1344502729000,-11.4677023067000,0.001,0.001,90,2470272812780609280,20.13493985076,0.0343,-11.46829167498,0.0337,28.3029,0.0482,111.438,0.091,-136.885,0.067,0,9.66487e+06,4.61710e+03,8.225375,4.79688e+06,6.42660e+03,8.648990,6.80588e+06,1.23444e+04,7.679710,0.969280,10.38,0.16,5301.50,0.0250,0.0125,0.84,0.499,20.134583,-11.467778,66,HIP 6276,5314,4.47,-0.05,0.53,-4.32,5.4,4.7,2.2,9.5,254,0.01,0.02,1,0.02,01 20 32.3,-11 28 04,8.43,34.4,-0.33,0.8,0.68,0.88,4.55,4.0,1,Simbad
0.058413,20.4963050877000,76.7102881447000,0.001,0.001,90,560130775546153344,20.49565622136,0.0221,76.71014752540,0.0204,58.8216,0.0249,-34.643,0.041,-32.660,0.038,0,3.20098e+07,5.76796e+03,6.925160,1.53403e+07,2.65019e+04,7.386802,2.30464e+07,6.15813e+04,6.355411,1.031391,-22.70,0.15,5243.50,0.0143,0.0082,0.75,0.386,20.49625,76.710278,67,HD 7924,5136,4.55,-0.15,0.22,-4.85,1.7,0.2,2.0,-23.4,277,0.01,0.01,23,-0.16,01 21 59.1,+76 42 37,7.17,16.81,-0.43,0.77,0.77,0.8,4.57,8.7,1,Simbad
0.229461,21.3021482709000,28.5666948666000,0.001,0.001,90,297045096447719040,21.30338072888,0.0446,28.56601690880,0.0330,22.2795,0.0463,251.399,0.080,-157.461,0.074,0,3.03365e+07,1.01845e+04,6.983450,1.66824e+07,3.38328e+04,7.295742,1.90169e+07,4.20366e+04,6.564072,0.731670,18.40,0.47,6053.00,0.3433,0.1720,1.40,2.383,21.302083,28.566667,71,HD 8574,6031,4.21,0.03,0.17,-4.89,6.1,3.5,4.9,18.5,240,0.01,0.01,2,0.03,01 25 12.5,+28 34 00,7.12,44.56,0.36,1.39,1.13,1.17,4.22,4.2,1,Simbad
0.467030,21.5799049241000,-4.6740783961700,0.012,0.008,90,2482274463233174016,21.57949980542,0.3567,-4.67453359362,0.2956,20.4721,0.4206,-93.780,0.755,-105.724,0.531,0,1.22380e+07,3.97621e+03,7.969088,6.35020e+06,1.12071e+04,8.344420,8.21815e+06,1.69385e+04,7.474985,0.869434,-22.81,0.34,5581.00,0.1710,0.0900,1.16,1.170,21.58,-4.674167,74,HD 8765,5632,4.38,0.16,0.2,-4.82,4.0,2.5,3.0,-23.2,255,0.01,0.01,2,0.18,01 26 19.2,-04 40 27,8.14,52.97,0.13,1.21,1.3,1.04,4.34,6.0,1,Simbad
0.539196,22.1431679037000,42.2676913580000,0.001,0.001,0,396341196983414272,22.14347394594,0.0401,42.26727098837,0.0378,30.1042,0.0454,52.600,0.074,-97.634,0.090,0,4.62474e+07,1.91595e+04,6.525649,2.62248e+07,5.92006e+04,6.804608,2.80487e+07,1.06003e+05,6.142139,0.662469,8.73,0.44,6269.00,0.1005,0.0455,1.19,1.979,22.143333,42.267778,76,HD 8907,6271,4.36,0.04,0.34,-4.37,16.3,12.9,6.9,8.8,249,0.01,0.01,1,0.11,01 28 34.4,+42 16 04,6.66,34.77,0.32,1.23,1.25,1.24,4.35,1.1,1,Simbad
0.369536,23.3158725406000,-24.1779598979000,0.001,0.000,90,5038817840251308288,23.31715775974,0.0298,-24.17864277830,0.0174,51.8965,0.0376,272.317,0.070,-158.603,0.029,0,3.71820e+07,6.20828e+03,6.762535,1.86721e+07,1.36534e+04,7.173407,2.56140e+07,2.48698e+04,6.240727,0.932680,2.45,0.13,5490.75,0.0945,0.0447,0.83,0.558,23.315833,-24.178056,81,HD 9540,5417,4.54,-0.07,0.29,-4.62,2.6,0.8,2.4,3.3,261,0.01,0.01,1,-0.04,01 33 15.8,-24 10 41,6.97,19.05,-0.27,0.83,0.87,0.91,4.55,3.5,2,Simbad
0.362126,23.3292760620000,23.9755697096000,0.001,0.001,90,291701396922348672,23.32926626870,0.0486,23.97569484923,0.0396,30.2479,0.0556,-2.078,0.087,29.065,0.079,0,1.94788e+07,1.12295e+04,7.464463,1.02424e+07,2.81703e+04,7.825380,1.28024e+07,2.48228e+04,6.993689,0.831692,11.08,0.13,5776.00,0.0590,0.0285,0.92,0.841,23.329167,23.975556,82,HD 9472,5751,4.53,-0.04,0.39,-4.37,4.2,2.3,3.4,10.7,245,0.01,0.01,1,-0.01,01 33 19.0,+23 58 32,7.63,34.66,-0.04,0.96,1.14,1.01,4.47,2.8,1,Simbad
0.577785,23.4284806450000,-7.0253434674000,0.003,0.002,90,2477891500647336704,23.42923964826,0.1078,-7.02569959918,0.0603,33.6309,0.1231,174.962,0.213,-82.715,0.106,0,1.10283e+08,1.28983e+05,5.582091,5.84874e+07,1.60463e+05,5.933732,7.06371e+07,2.87792e+05,5.139339,0.794394,-14.83,0.19,5896.00,0.7413,0.4752,1.87,3.826,23.428333,-7.025278,83,HD 9562,5837,4.02,0.21,0.15,-5.07,5.9,4.2,3.8,-12.7,257,0.01,0.01,1,0.22,01 33 42.8,-07 01 31,5.75,29.52,0.56,1.86,1.3,1.26,4.0,5.0,2,Simbad
0.344832,23.6386016204000,68.9481355878000,0.001,0.001,0,532057254394731776,23.63406768258,0.0204,68.94862958320,0.0208,47.4926,0.0265,-378.267,0.036,114.720,0.038,0,5.52348e+07,9.54447e+03,6.332834,2.86001e+07,4.42653e+04,6.710469,3.68141e+07,4.60824e+04,5.846886,0.863583,-33.27,0.14,5661.25,0.1458,0.0725,1.03,0.975,23.63875,68.948056,84,HD 9407,5672,4.45,0.01,0.17,-4.98,2.9,0.2,3.1,-33.4,241,0.01,0.01,20,0.01,01 34 33.3,+68 56 53,6.52,20.66,-0.04,0.99,0.98,1.0,4.45,4.5,1,Simbad
